Index,ind01,ind02,ind03,ind04,ind05,ind06,ind07,ind08,ind09,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25
DDX10,3.204096,3.271983,3.17993,3.201603,3.181703,3.223019,3.19228,3.209085,3.214369,3.27456,3.198054,3.200484,3.336752,3.229696,3.178656,3.251573,3.275511,3.229329,3.203415,3.219498,3.204215,3.19787,3.251089,3.307206,3.180094
EYA2,3.396065,3.443961,3.450555,3.446958,3.351226,3.436639,3.371906,3.310418,3.368334,3.431311,3.360228,3.422018,3.344002,3.407967,3.377403,3.525052,3.399164,3.472369,3.400553,3.421042,3.488292,3.381821,3.327946,3.400756,3.422601
WNT16,4.706635,4.779899,4.609443,4.851304,4.810143,4.890062,4.80506,4.251254,4.334515,5.205311,5.037466,5.230868,4.829679,3.98223,4.906054,5.260395,4.408584,4.542161,4.5577,4.646152,4.432773,4.839367,4.413562,4.289975,4.790266
RRM1,3.645433,3.628951,3.809574,3.494009,3.664699,3.787517,3.604118,3.63233,3.747984,3.635172,3.59045,3.919132,3.800131,3.592494,3.561674,3.573279,3.658032,3.644523,3.709775,3.58894,3.612436,3.760376,3.545267,3.567596,3.531063
IGF1R,8.438734,8.467805,8.175562,8.91202,8.783455,7.877353,8.618176,9.039977,9.056034,9.118556,8.729686,8.583639,9.098881,8.384839,8.663086,8.740841,8.58777,8.293967,8.645831,8.4913,8.570948,8.650469,8.784951,8.483123,8.827095
PLEKHA4,3.269666,3.249624,3.307224,3.27518,3.305322,3.279522,3.294991,3.266411,3.345171,3.295494,3.305152,3.375057,3.326092,3.322065,3.289779,3.27115,3.297328,3.281279,3.282608,3.321151,3.255539,3.265835,3.290813,3.325684,3.325684
GLI3,3.273018,3.283222,3.303945,3.257735,3.264921,3.239299,3.210783,3.208329,3.373073,3.271559,3.221481,3.248749,3.225587,3.259545,3.208562,3.267451,3.258758,3.209355,3.237822,3.239115,3.399064,3.198651,3.296611,3.162372,3.230594
ALG6,4.415436,4.545315,4.311075,4.609297,4.503404,4.609216,4.552929,4.548759,4.994699,4.35859,4.332288,4.494603,4.594766,4.361664,4.619451,4.426918,4.49823,4.3302,4.434664,4.521429,4.525447,4.487186,4.574818,4.411648,4.537673
MTIF2,3.261076,3.281634,3.263036,3.290083,3.319431,3.287621,3.25879,3.243999,3.247886,3.300645,3.278071,3.279421,3.252625,3.27236,3.26974,3.280575,3.291634,3.313807,3.274299,3.28349,3.297404,3.276811,3.276188,3.295438,3.284691
SDK1,6.977441,7.040119,7.084936,6.882576,6.656291,6.16334,6.275852,7.057694,6.73355,6.832192,6.706611,6.582215,7.603194,6.690979,6.670936,5.298199,6.337464,6.353892,6.975513,6.788582,6.429767,6.63151,6.666705,6.674639,6.366145
KCNB1,5.107733,5.466063,5.559119,4.758474,4.785343,5.60056,5.013185,4.971632,4.856125,4.996472,4.601612,4.979329,5.078815,4.901587,4.898958,5.019005,4.82851,4.75129,4.901373,4.794414,4.907282,4.847426,5.102974,4.912562,4.897762
SNAI2,7.260686,7.861756,7.421741,7.338885,7.167964,7.940113,6.988929,7.422203,7.52669,7.376953,7.246892,7.153782,7.483893,7.398062,7.362768,6.696619,6.969789,7.568466,7.52188,7.228499,7.65812,7.674303,7.224423,8.069057,7.295509
FGD4,3.726845,3.786746,3.580265,3.906389,4.101859,3.684362,3.999363,4.063315,3.499089,3.397361,4.056031,3.504981,3.31435,3.587711,3.808833,3.454907,3.58631,3.587381,3.509867,3.601062,3.529717,3.648436,3.743626,3.758375,4.060336
ADARB1,3.379964,3.51101,3.626824,3.686392,3.419668,3.506409,3.347573,3.278535,3.228911,3.282088,3.562024,3.315015,3.546343,3.418775,3.33756,3.519651,3.296737,3.314373,3.259659,3.132082,3.480734,3.323497,3.365813,3.414516,3.308124
FHIP1B,3.895398,3.864909,4.102681,3.909239,3.838915,4.03056,3.868454,3.928264,4.370854,3.96244,3.817734,3.974507,3.986267,3.863858,4.058899,3.69791,3.793308,3.751636,3.950474,3.861463,3.78631,3.863961,4.188808,3.703836,3.895638
