Index,ind01,ind02,ind03,ind04,ind05,ind06,ind07,ind08,ind09,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25
ERLEC1,4.598767,4.476605,4.80196,4.716333,4.640981,4.913695,4.55541,4.732378,5.232641,4.907729,4.938898,4.85567,5.612027,4.617568,4.753665,3.953358,4.67147,4.778807,4.921904,4.810834,4.73235,4.864623,4.854764,4.790286,4.919574
SKP2,3.216151,3.222281,3.22618,3.216272,3.253222,3.213692,3.215004,3.224579,3.208747,3.232251,3.229291,3.211704,3.225518,3.215929,3.223492,3.24512,3.224011,3.220164,3.227579,3.250009,3.228544,3.227346,3.218385,3.222754,3.239752
SLC12A8,7.121151,7.834901,7.282135,8.133724,7.99164,7.546059,7.823816,8.56952,8.590706,7.627017,7.470031,7.469613,7.97718,7.576457,8.387547,6.783003,7.937683,6.946752,7.53404,7.623627,7.675775,7.539966,7.969537,7.350823,7.896626
NLRP7,4.481104,4.692296,4.71409,4.453122,4.524999,4.521997,4.311501,4.67414,4.56793,4.488448,4.5347,4.807826,5.027853,4.664357,4.889539,4.951567,4.764163,4.511782,4.726853,4.643472,4.510529,4.812049,4.648633,4.541664,4.879508
NPHS1,3.811502,3.751956,3.731103,3.802445,3.804585,3.76772,3.77471,3.675658,3.704491,3.708562,3.784994,3.787468,3.768619,3.910566,3.774998,3.918141,3.811164,3.789521,3.750772,3.778641,3.751448,3.737999,3.705633,3.940381,3.740526
ZNF100,3.400204,3.308098,3.445939,3.480636,3.481888,3.463431,3.456481,3.449444,3.778457,3.489746,3.411937,3.469189,3.456226,3.303199,3.480068,3.376274,3.41731,3.342743,3.437804,3.39249,3.418857,3.439798,3.47413,3.411064,3.448459
PGF,3.789356,4.010248,4.048874,4.121694,3.980735,4.076292,3.682895,4.001465,4.427858,3.987401,3.779806,3.946794,4.046159,3.86462,3.9577,3.547854,3.810502,3.646027,3.80789,3.711826,3.605186,3.787778,3.801568,3.708964,3.988227
CBR3,3.506044,3.470617,3.573334,3.459796,3.527073,3.467218,3.573653,3.472517,3.718057,3.545064,3.515635,3.599773,3.525959,3.512395,3.513748,3.482053,3.593956,3.508568,3.531637,3.486993,3.566502,3.509582,3.512923,3.447336,3.572364
PRICKLE1,3.337841,3.219988,3.276356,3.240118,3.22013,3.216262,3.228042,3.292307,3.217814,3.229595,3.216648,3.21308,3.230115,3.220752,3.219034,3.228723,3.223602,3.219346,3.248363,3.222345,3.225935,3.220041,3.210633,3.221846,3.223665
SCN2B,3.344425,3.948253,3.275397,3.9058,3.777435,3.810654,3.458512,3.92557,4.367497,3.747499,3.505194,3.44192,3.352865,3.348495,3.89945,3.419581,3.260303,3.292157,3.298141,3.261813,3.334994,3.372749,3.3312,3.259598,3.445395
SNCA,4.981391,5.424189,5.20927,5.044005,5.34683,5.456972,4.961925,4.80495,5.331065,4.898888,4.724884,5.123982,5.201939,5.106064,5.300265,5.05496,4.718736,5.015786,5.341811,5.052703,5.161546,5.024494,5.156261,5.189439,5.185602
SERPINA7,3.345049,3.341001,3.344262,3.368762,3.360109,3.386411,3.371359,3.292091,3.332224,3.297286,3.350129,3.317739,3.331477,3.323176,3.326764,3.374699,3.32768,3.4382,3.321594,3.34588,3.388824,3.323309,3.260195,3.405991,3.332623
CFB,3.244669,3.293216,3.33989,3.25202,3.373453,3.226854,3.318114,3.244359,3.234468,3.249757,3.360418,3.249619,3.368374,3.288688,3.250963,3.420603,3.35506,3.306171,3.233608,3.240654,3.275007,3.257708,3.222934,3.231049,3.263985
EP300,3.339248,3.415866,3.360923,3.332397,3.369269,3.345654,3.361919,3.448724,3.310488,3.362954,3.337162,3.344078,3.370006,3.321865,3.35259,3.338111,3.365878,3.325048,3.336305,3.417351,3.342108,3.343557,3.381683,3.350187,3.303902
UBB,4.419639,4.317572,4.389045,4.446886,4.449027,4.413857,4.32881,4.408121,4.856802,4.975006,4.493842,4.407814,4.667952,4.713665,4.3803,3.999899,4.532748,4.144493,4.411867,4.454013,4.183834,4.430617,4.510972,4.459604,4.847538
WNT7A,4.567298,4.65333,4.660991,4.679187,4.465066,4.258773,5.228271,4.975026,5.046234,4.713309,4.563694,4.473114,4.751025,4.694756,4.966598,4.784126,4.786443,4.524637,4.877964,4.662694,5.033293,4.935597,4.693808,4.296938,4.94084
MAT1A,4.022454,4.122383,4.166365,4.176922,4.111698,4.529554,3.971972,4.039279,4.738199,4.122,4.095541,4.112514,4.586367,3.713235,4.084133,3.463981,3.737274,3.724028,4.110727,3.850605,3.95976,3.904517,4.011703,3.917376,4.076874
IRAK1,5.553617,5.678182,5.67629,5.365739,5.534439,5.668769,5.354171,5.235361,5.348284,5.282864,5.371799,5.708804,5.33833,5.887622,5.454017,5.630088,5.312438,5.42598,5.827237,5.446838,5.280043,5.702531,5.39614,5.510394,5.213295
PEX10,3.591974,3.633204,3.511029,3.595893,3.628583,3.517306,3.552923,3.485443,3.463951,3.546526,3.550097,3.529915,3.502459,3.561325,3.480612,3.710374,3.558713,3.689145,3.530102,3.602802,3.585279,3.467749,3.549058,3.613955,3.517694
IHH,6.896293,7.899561,7.094741,7.893053,7.775349,7.462061,6.922689,7.62543,7.877399,7.550512,7.327295,7.238801,8.217516,6.992318,7.465795,4.934345,6.863557,7.097141,7.096312,7.138225,7.103572,7.22695,7.148639,7.744661,7.29832
TREX1,3.64509,3.68381,3.75492,3.754462,3.741038,3.662547,3.782086,3.699131,3.826204,3.861161,3.754533,3.964681,3.805736,3.763517,3.743274,3.709492,3.789049,3.74097,3.739645,3.768141,3.671251,3.778326,3.846501,3.762693,3.939273
PIGU,4.190429,4.067574,4.268004,3.973464,4.071122,4.169447,3.935142,3.994462,4.232197,4.045587,4.124097,4.145321,4.054337,4.054811,4.116178,3.832835,3.8892,3.915623,4.107229,3.873547,3.92735,4.135125,4.006674,4.079391,3.998338
ESS2,3.4885365,3.5565875,3.5483365,3.5460465,3.5327705,3.5555785,3.593774,3.5846695,3.4333229999999997,3.4747795,3.5906624999999996,3.529776,3.479147,3.6357619999999997,3.511877,3.6118385,3.544284,3.6531624999999996,3.504963,3.6016215000000003,3.5672275,3.593706,3.5203765000000002,3.5401555,3.547755
SUCLG1,8.816127,9.499298,9.003211,9.359115,9.105565,9.411563,8.769346,9.139285,9.548155,8.974024,9.300872,8.950495,9.677196,9.471538,9.066102,7.302425,8.509089,8.895981,9.1604,9.022737,8.568947,9.03105,8.824109,9.791796,9.056515
ALDH3B1,3.595683,3.601865,3.654741,3.525972,3.461289,3.718315,3.622302,3.567327,3.607283,3.574455,3.544891,3.695983,3.569164,3.557071,3.567522,3.665851,3.567912,3.615513,3.575745,3.693832,3.564098,3.56661,3.533187,3.550088,3.570806
WWOX,5.775939,5.883162,6.700956,5.127629,5.109128,5.319878,5.169569,5.638678,5.660399,5.556027,5.357369,5.759536,5.644884,5.345041,5.814031,4.777167,4.946608,4.878173,5.355158,5.373781,5.188921,5.232251,5.670904,5.119352,5.293679
CRLF1,4.344567,4.434952,4.158854,4.657283,4.365366,4.559101,4.209949,4.109201,4.22769,4.15628,4.082943,4.301016,4.030382,4.189395,4.412415,4.335048,3.966213,4.512915,4.511204,4.271195,4.495519,4.223699,3.950203,4.502486,4.298293
PDE4A,4.059988,4.199075,4.284915,4.037461,3.902756,4.175947,4.04914,4.170003,4.225671,3.953304,3.851092,4.015711,3.839774,3.886465,4.239304,3.940676,3.800237,3.839265,3.890598,3.809568,3.935112,3.867554,4.098404,3.817039,3.984511
RGS2,4.405639,4.773254,4.874242,3.966481,3.826336,4.078751,4.303015,4.639194,4.455059,3.822063,3.868846,4.287431,3.733413,3.859344,5.050779,3.676091,3.70457,3.721571,3.963574,3.831969,4.004222,3.899888,4.095338,3.883308,4.178143
TGFBRAP1,5.231195,6.083056,6.572488,5.717465,6.147471,6.362285,5.700811,5.477516,6.065293,4.334846,4.631809,5.841307,4.418511,6.064834,6.182367,4.969582,5.602171,4.494462,4.389886,4.76575,4.137122,4.29081,4.502432,5.161668,5.453434
ID1,3.430771,3.484311,3.628369,3.631457,3.622131,3.722322,3.550479,3.605251,3.957162,3.61368,3.612809,3.727695,3.831848,3.621345,3.672931,3.27333,3.595536,3.608191,3.566499,3.626913,3.463971,3.621285,3.689009,3.602371,3.672218
DNAL4,4.522582,4.655845,4.678963,4.614446,4.524894,4.656491,4.469172,4.690918,5.052587,4.449674,4.251019,4.471541,4.443082,4.483351,4.591931,4.274772,4.362392,4.225653,4.625138,4.308496,4.286188,4.413619,4.649383,4.349216,4.51213
SON,3.262785,3.261258,3.274624,3.253031,3.27215,3.242218,3.286277,3.261794,3.261549,3.270803,3.251814,3.278612,3.261693,3.258362,3.283317,3.260471,3.292507,3.281804,3.271585,3.278134,3.254468,3.242998,3.251916,3.266497,3.275882
OR7D4,3.319398,3.310553,3.300645,3.309077,3.281961,3.35156,3.341128,3.312879,3.318506,3.26784,3.304522,3.288257,3.285452,3.362045,3.415565,3.327569,3.350759,3.356156,3.358056,3.381566,3.29986,3.328628,3.315561,3.442453,3.307783
EPAS1,3.559699,3.504923,3.495444,3.511744,3.53937,3.517062,3.583441,3.505717,3.507638,3.462551,3.57051,3.512512,3.516597,3.547291,3.480847,3.882086,3.53526,3.532559,3.557626,3.672792,3.637569,3.569988,3.542221,3.561239,3.457257
PPP1R17,3.809818,3.888752,3.768602,3.998199,3.878411,3.893937,4.019792,3.775464,4.103149,3.682187,3.763076,3.708543,3.684973,3.819764,4.000426,3.862802,3.875103,3.70026,3.793964,3.747422,3.686229,3.766999,3.712744,3.74124,3.776277
ADRA2B,3.185174,3.185419,3.185456,3.208489,3.200659,3.213053,3.19364,3.225507,3.238962,3.202143,3.208082,3.193038,3.231014,3.184141,3.215257,3.195944,3.200946,3.181441,3.205437,3.194046,3.198168,3.194953,3.207683,3.186367,3.211994
PDSS1,3.431128,3.561957,3.525983,3.472346,3.534381,3.505124,3.598836,3.340141,3.542828,3.456622,3.409668,3.590989,3.538299,3.521426,3.556584,3.48783,3.40653,3.615754,3.553598,3.495569,3.484595,3.515188,3.475686,3.378022,3.507629
SLC1A3,3.147494,3.181599,3.164445,3.179467,3.195369,3.158177,3.19961,3.162023,3.151821,3.195931,3.142426,3.144855,3.140859,3.144112,3.200988,3.178632,3.198391,3.15924,3.171405,3.165975,3.170507,3.159373,3.165607,3.180082,3.169267
SIX4,4.517625,4.450668,4.48866,4.63638,4.519026,4.661641,4.468567,4.510012,4.945027,4.574778,4.544171,4.681501,4.692299,4.263892,4.634008,3.936279,4.39391,4.17625,4.459567,4.381525,4.354821,4.534738,4.794747,4.28352,4.568996
ZIC5,4.18084,4.125951,4.255687,4.589028,4.307254,4.244845,4.207272,4.346067,4.419212,4.10924,3.804524,4.338278,4.446807,4.19817,4.33606,3.877536,4.049034,4.135129,4.426321,4.362758,4.185353,4.359361,4.448024,4.260072,4.365685
KLF8,3.317785,3.245018,3.266952,3.303344,3.428999,3.326135,3.3544,3.557501,3.364645,3.326197,3.26949,3.329974,3.541906,3.33746,3.418483,3.556173,3.618953,3.273501,3.42909,3.38403,3.178632,3.354033,3.410511,3.369978,3.393468
AEBP1,3.48837,3.461152,3.542814,3.586085,3.453649,3.552027,3.545144,3.565227,3.772281,3.61633,3.518461,3.586983,3.549838,3.502065,3.505363,3.440568,3.604746,3.485078,3.541603,3.468494,3.414233,3.56051,3.59322,3.515187,3.582897
NDUFA13,3.882784,3.849029,3.784871,3.865029,3.737206,3.830045,3.853519,3.80186,3.659992,3.765058,3.76302,3.830169,3.712224,3.77092,3.817494,3.977955,3.737222,3.842091,3.716646,3.839542,3.819186,3.747579,3.738224,3.922505,3.762197
RNF6,3.842257,3.501251,3.808383,3.642928,3.723879,3.817956,3.559461,3.453481,3.52005,3.95613,3.645544,3.74984,3.946822,3.641185,3.502173,3.425373,3.625794,3.481071,3.583713,3.445348,3.462372,3.419036,3.732376,3.390141,3.615716
THBS4,5.271839,5.511178,5.558707,5.267979,5.154775,5.465259,5.284825,5.130279,5.288712,5.111566,4.997155,5.281907,4.987276,5.355802,5.352926,5.459313,5.194455,5.036831,5.34119,5.142008,5.028245,5.483258,5.286964,5.296923,5.345478
TRHR,4.177936,4.233013,4.244592,4.227893,4.172029,4.263479,4.199201,4.050795,4.156407,4.080473,4.115277,4.164001,4.049006,4.102899,4.304678,4.05659,4.167337,4.091597,4.16799,4.09265,4.144529,4.189514,4.309588,4.05146,4.204108
APP,6.143338,4.692532,4.969233,4.430855,4.20828,4.022264,4.874718,4.515617,4.505422,4.519969,4.645433,4.885753,4.941846,4.49695,4.853233,4.264189,4.321722,4.264002,5.715169,4.527581,4.82486,5.168478,4.979414,4.132085,4.563843
CNTN1,5.653193,5.535993,5.334149,6.13119,6.186811,5.368998,6.188742,6.718575,6.18167,6.400202,5.863005,6.107618,6.549087,6.091998,6.437619,5.556434,6.431256,5.839969,6.118883,6.173659,6.196702,5.70722,6.459868,5.921038,6.352831
SPAG9,3.433535,3.464825,3.442481,3.446286,3.514722,3.520766,3.50648,3.375977,3.672242,3.432446,3.387131,3.492662,3.520571,3.543779,3.560949,3.517784,3.449481,3.449481,3.478984,3.46791,3.404985,3.499614,3.473853,3.39005,3.509876
EWSR1,5.066204,4.724326,4.846443,4.694441,5.04898,4.652649,4.977113,4.95509,4.988817,4.762977,4.461828,4.989611,4.595604,5.00614,5.23504,4.783434,4.838901,4.447538,4.888329,4.702296,4.876781,4.798086,5.140599,4.612333,4.987861
NDUFS5,4.558864,4.511645,4.579335,4.878997,4.747895,5.141107,4.636463,4.062538,4.75286,4.634698,4.607042,4.73227,3.907008,4.161721,4.864794,4.766481,4.262197,3.942736,4.509178,4.293014,4.227165,4.376454,5.094823,4.251505,4.338695
NEK2,3.341321,3.353917,3.716039,3.398743,3.325313,3.451272,3.294299,3.39589,3.829423,3.402996,3.525336,3.365445,3.885459,3.381939,3.37237,3.385697,3.381164,3.334242,3.472982,3.343503,3.369006,3.326391,3.417193,3.353177,3.40932
ALDH1A1,3.6084,3.687779,3.653965,3.511761,3.510412,3.594071,3.588521,3.550953,3.513422,3.668839,3.56855,3.703673,3.649877,3.68439,3.490254,3.791767,3.705445,3.635807,3.704326,3.704124,3.875461,3.708424,3.645803,3.872424,3.631949
VRK1,5.328993,5.377411,5.671708,5.581505,5.153083,5.608528,4.976731,5.154218,5.662849,5.376266,5.0861,5.280322,5.703191,5.130233,5.428198,4.568951,4.999241,4.858239,5.084857,4.992837,5.026996,5.217051,5.209888,5.177289,5.177289
GPR161,4.518184,4.498272,4.397723,4.421906,4.474196,4.515476,4.483181,4.50887,4.649145,4.598657,4.51083,4.566373,4.335108,4.500676,4.492636,4.290042,4.34538,4.681592,4.577355,4.390161,4.972233,4.698651,4.647061,4.207669,4.561599
CDIN1,3.566755,3.308986,3.575904,3.299575,3.307864,3.285329,3.394898,3.329044,3.409284,3.395314,3.466246,3.560734,3.49982,3.502036,3.284267,3.388972,3.33027,3.499286,3.6257,3.34118,3.573756,3.557045,3.674955,3.42633,3.470114
AQP1,3.209241,3.207626,3.260811,3.221785,3.209392,3.210638,3.216722,3.212527,3.281786,3.217997,3.204159,3.31359,3.19467,3.206898,3.221488,3.207626,3.217804,3.203343,3.228534,3.204308,3.215161,3.214373,3.227667,3.212409,3.276487
TLNRD1,4.091332,4.244835,4.423535,4.280171,4.352241,4.290144,4.035253,3.95671,4.499578,4.404219,4.035255,4.408696,4.19045,4.227213,4.206647,3.925447,4.311785,3.962416,4.123904,4.012911,4.063886,4.212633,4.310571,3.968032,4.377491
MKS1,4.07466,4.091689,4.220212,4.091752,3.968167,4.495325,4.22355,4.170139,4.281204,4.08042,3.927273,4.028546,3.97233,3.951967,4.208117,3.905358,3.669214,3.789119,4.040513,3.773206,4.212421,3.961515,3.9785,4.074739,4.084877
UBE4A,5.21624,5.312777,5.464104,5.355166,5.346939,5.437868,5.336612,5.209289,5.42908,5.480269,5.449347,5.400466,5.526398,5.438771,5.327695,5.286432,5.491447,5.384596,5.475911,5.470159,5.387001,5.640454,5.533613,5.484782,5.490685
RIT1,3.949432,4.002213,3.798279,3.953519,3.90619,3.904219,3.93225,3.886438,4.010049,4.023751,3.950209,3.97563,4.134619,4.015064,3.895022,3.831746,3.96368,4.079302,4.20279,4.00127,3.956345,4.04684,4.10143,4.058487,3.998343
APLN,7.194057,7.148972,7.136108,7.554519,7.451537,7.314068,7.51126,7.353545,7.0123,7.102134,6.800627,7.025424,7.107096,6.961243,7.13553,6.52032,6.758001,6.875528,7.335284,6.989731,7.219847,7.138011,7.285891,6.545748,7.13386
SEMA6D,3.979265,4.071105,3.98945,4.024969,4.186972,3.969227,4.059931,4.410025,3.983762,3.872282,4.060544,4.08122,3.207949,3.57599,4.529301,4.097098,3.849467,3.844624,3.808955,3.993707,3.777678,3.80653,4.076394,3.623409,4.074299
ZNF423,3.7768,3.742604,3.789583,3.784389,3.769906,3.760652,3.624599,3.691156,4.051684,3.884159,3.774064,3.893734,4.209567,3.750595,3.787205,3.481222,3.701454,3.524383,3.819312,3.775072,3.578464,3.789685,3.840658,3.525613,3.85323
XIAP,3.539547,3.59405,3.609233,3.443001,3.564646,3.595023,3.56427,3.59925,3.490601,3.450475,3.398095,3.51207,3.451387,3.572449,3.671312,3.494852,3.615926,3.521632,3.689399,3.530368,3.560323,3.563567,3.480265,3.591928,3.549453
TPM1,3.280453,3.601418,3.362467,3.295431,3.417409,3.411404,3.468728,3.70715,3.541723,3.96774,3.292422,3.470202,3.188825,3.301688,3.411404,3.305446,3.407055,3.323528,3.29071,3.270682,3.611443,3.60911,3.292422,3.272927,3.505622
PIN4,3.520329,3.586337,3.525063,3.522154,3.515804,3.59522,3.6398,3.508791,3.43862,3.503421,3.650612,3.544668,3.458998,3.588308,3.565662,3.651963,3.583073,3.642917,3.567701,3.582353,3.602659,3.600557,3.50577,3.544821,3.525361
MPP1,3.215378,3.153125,3.212239,3.286485,3.227698,3.205256,3.219997,3.175583,3.250482,3.232561,3.516273,3.294528,3.163698,3.197729,3.193479,3.21749,3.181825,3.197328,3.187465,3.228353,3.173426,3.266778,3.152487,3.178632,3.165511
PHF6,5.396854,5.590734,5.562266,5.700339,5.503884,5.722135,5.366593,5.328279,5.731666,5.551343,5.471331,5.416214,5.680788,5.42075,5.695667,5.478602,5.285826,5.109449,5.466581,5.241602,5.148983,5.448128,5.485658,5.489998,5.583494
KLHL6,3.394546,3.455752,3.38878,3.411041,3.366263,3.386634,3.365058,3.383852,3.361376,3.413919,3.350476,3.342876,3.398768,3.440702,3.421305,3.470834,3.461112,3.4596,3.377826,3.390329,3.425724,3.383126,3.404449,3.409694,3.388153
MSN,4.463191,4.416872,4.569232,4.634351,4.578202,4.486298,4.637944,4.481491,5.009384,4.742589,4.487484,4.744534,4.637847,4.463516,4.615365,3.995887,4.598642,4.235029,4.517125,4.455209,4.325908,4.508591,4.738673,4.234994,4.88202
HAMP,5.296124,5.366722,5.204095,4.824856,4.86537,5.030973,4.82298,5.023402,4.844735,4.529398,4.670266,4.75269,4.783267,4.311106,5.018272,4.220725,4.232044,4.312582,4.760952,4.383071,4.404013,4.579441,4.946027,4.413904,4.365446
CCKAR,3.335829,3.287868,3.426663,3.351448,3.332669,3.381759,3.357459,3.301711,3.387494,3.408318,3.326028,3.290415,3.23408,3.382751,3.310548,3.573377,3.412361,3.397115,3.27952,3.338624,3.39191,3.290631,3.323014,3.408318,3.291518
PIEZO2,3.863652,3.811013,3.748307,3.76661,3.851827,3.770627,3.778325,3.780009,4.226803,3.787288,3.950011,3.968001,3.893643,3.763147,3.944825,3.780653,3.807821,3.685531,3.760303,3.746563,3.769989,3.746598,3.640032,3.817651,3.834352
ZBTB18,3.297985,3.414227,3.289368,3.282408,3.26422,3.290204,3.281884,3.249477,3.244556,3.307679,3.332327,3.279985,3.265588,3.276645,3.272907,3.280722,3.299343,3.340145,3.322159,3.273633,3.271607,3.325871,3.282106,3.2836,3.319183
GM2A,4.87165,5.274046,4.973767,5.09338,4.973888,5.193093,4.964707,4.970211,4.818663,4.832002,4.603445,4.73877,4.838509,4.66554,5.054895,4.952992,4.757451,4.878375,4.863038,4.700115,4.819286,4.900549,4.897191,4.870934,4.791419
GABRG3,4.752122,5.26243,4.893004,5.036637,5.244852,4.83863,4.959539,5.006423,4.172907,4.911704,4.922304,5.014493,4.685881,4.845326,4.796671,5.141032,4.593701,4.814757,4.721208,4.861419,4.857892,4.713124,4.727902,5.012236,5.006604
ILK,3.518781,4.177233,3.520791,5.506621,4.520575,5.037242,3.541157,4.468039,3.525223,3.52964,3.563576,3.497574,3.492066,3.543307,3.521846,3.546584,3.470009,3.552048,3.537132,3.545346,3.559863,3.484738,3.513702,3.559625,3.560587
CIZ1,3.321912,3.267525,3.279997,3.275373,3.280636,3.278005,3.280113,3.248523,3.309158,3.355343,3.280285,3.343517,3.267054,3.290659,3.278165,3.278626,3.281416,3.298703,3.306952,3.269426,3.299467,3.283148,3.314548,3.316871,3.300876
UNKL,4.4901565,4.688537,4.6277715,4.4039975,4.764296,4.765045,4.4303625,4.387132,5.0203205,4.4903569999999995,4.2601445,4.5495280000000005,4.2539345,4.148617,5.03862,4.794776499999999,4.525959500000001,4.0055625,4.1236935,4.276407,4.3119145,3.830169,4.6457035,4.254199,4.5453085
CCR9,3.440409,3.324022,3.455268,3.444186,3.397635,3.284589,3.360081,3.900333,3.365458,3.251474,3.410602,3.312567,3.496613,3.276746,3.605885,3.276665,3.253458,3.368677,3.370665,3.618608,3.232408,3.733458,3.409645,3.386227,3.323357
E2F3,5.910931,6.572303,6.423532,7.018784,6.531149,7.035017,5.677948,6.785315,5.45299,4.752758,4.44593,5.590921,4.30928,5.325059,6.031568,5.136477,3.460576,3.384428,4.693154,4.179989,5.486465,3.818973,5.431052,3.879534,4.774922
ERCC4,3.592137,3.60857,3.641839,3.625789,3.629257,3.708679,3.477425,3.562614,3.828191,3.581104,3.567037,3.571947,3.535448,3.598613,3.610009,3.542022,3.581477,3.457449,3.564877,3.512203,3.543367,3.590376,3.624403,3.50011,3.602138
ZC4H2,4.37632,4.555616,4.495321,4.715438,4.648736,5.107861,4.302585,4.546245,4.666875,4.467755,4.291195,4.465454,4.393033,4.249363,4.424393,3.978539,4.225339,4.277436,4.414709,4.217768,4.228945,4.384624,4.395482,4.057354,4.477972
FKBP5,3.473372,3.437081,3.433346,3.363665,3.330859,3.408428,3.458444,3.398282,3.340913,3.379915,3.439288,3.443825,3.344303,3.557957,3.391592,3.540721,3.602493,3.438006,3.483838,3.575799,3.438111,3.552458,3.428949,3.473036,3.40091
SPRED1,3.510092,3.556684,3.4337,3.395612,3.545267,3.440337,3.388535,3.296632,3.245705,3.514111,3.734412,3.380845,3.353074,3.463556,3.43153,3.382724,3.457845,3.393914,3.529336,3.500547,3.550869,3.222295,3.436835,3.378022,3.695977
ARAF,5.462912,6.034215,5.474813,6.507784,5.958917,6.798757,5.499847,6.081682,6.442747,5.686586,5.6027,5.506199,5.906787,5.46025,5.656769,4.624071,5.656606,5.015763,5.295774,5.544178,5.211257,5.432869,5.562788,5.816665,5.880977
FOXJ1,4.371745,4.478976,4.305174,4.253418,4.409734,4.473617,4.077194,4.319434,4.190308,4.134706,4.166588,4.256115,4.317438,4.333485,4.239412,4.222274,4.262933,4.254077,4.338724,4.179824,4.221601,4.39783,4.14677,4.418825,4.166141
CPAMD8,3.549587,3.553449,3.588101,3.566436,3.596699,3.599338,3.57314,3.56883,3.616418,3.559874,3.507454,3.593629,3.514902,3.555088,3.641757,3.536733,3.599371,3.555987,3.614089,3.580401,3.509641,3.535826,3.508823,3.541645,3.584499
AKAP1,3.191621,3.30478,3.168231,3.215963,3.193919,3.252587,3.204218,3.231584,3.250482,3.260635,3.22906,3.211066,3.227253,3.329049,3.196059,3.222726,3.220253,3.164606,3.261716,3.212574,3.150102,3.224675,3.249425,3.204005,3.200186
KIAA1549,3.446899,4.462848,3.399416,5.817739,4.902144,5.719958,3.48614,3.779196,3.457687,3.493075,3.446874,3.448149,3.479591,3.444805,3.436802,3.44145,3.434713,3.458348,3.492041,3.481246,3.4609,3.437557,3.436543,3.472973,3.48979
ATP2B3,4.504978,4.670033,4.737328,4.7102,4.737839,4.836647,4.60601,4.444102,4.946738,4.665877,4.664643,4.780026,4.869081,4.788547,5.123034,4.497189,4.643892,4.526007,4.701715,4.617805,4.540024,4.614729,4.76248,4.660346,4.903213
CLINT1,4.17999,4.435471,4.483493,4.568974,4.437728,4.658317,4.200477,4.534701,4.958744,4.676824,4.572081,4.318976,4.520179,4.365061,4.555271,3.914812,4.421085,4.148936,4.281695,4.146447,4.160025,4.335669,4.407292,4.135661,4.649868
FANCL,3.926173,3.794072,3.794076,3.848355,3.999505,3.84406,3.913161,3.91017,4.332129,3.865464,3.862407,3.944645,3.982795,3.923731,4.207271,3.856841,3.834615,3.760542,3.923116,3.917584,3.846673,3.867682,3.885153,3.849391,4.17421
RASA1,3.772548,3.787655,3.878157,3.829279,3.788846,3.941089,3.755269,3.757888,3.948749,3.718046,3.803703,3.818595,3.849641,3.877104,3.806047,3.706967,3.889406,3.886497,3.85833,3.875277,3.902814,3.829856,3.779465,3.754353,3.82347
SACS,4.322351,4.340609,4.36975,4.360269,4.299807,4.402896,4.160375,4.081895,4.327795,4.417155,4.325142,4.346324,4.171352,4.290038,4.646841,4.083068,4.128752,4.128752,4.330595,4.216241,4.148069,4.466059,4.389753,4.202179,4.378372
STUB1,4.099135,4.397365,4.567756,4.310392,4.109165,4.089141,4.065321,4.189536,4.029622,4.023442,4.179847,4.748362,4.204041,4.254417,4.102859,4.319953,4.094616,4.34946,4.232276,4.039792,4.392552,4.582073,4.284885,4.225351,4.041059
GABRG2,4.440824,6.064353,5.227551,7.38744,6.732756,7.370039,4.372152,5.535619,4.999263,4.560567,4.522916,4.631704,4.471844,4.486531,4.591728,4.270861,4.432461,4.472321,4.777812,4.362216,4.589493,4.489522,4.587278,4.282377,4.542861
GYPA,4.179368,4.147299,4.330883,4.606665,4.332668,4.320383,4.318763,4.278875,4.945959,4.502374,4.173015,4.319124,4.39665,4.211209,4.608024,4.005603,4.366269,4.065529,4.288569,4.215843,3.982958,4.228438,4.4396,4.167872,4.432994
ROR2,4.510409,4.647966,4.437747,4.932117,4.736773,4.934507,4.541678,4.596546,4.814615,4.774609,4.607611,4.595698,4.785446,4.55166,4.669508,4.517869,4.637122,4.610795,4.787681,4.684195,4.440111,4.806839,4.746693,4.577467,4.866396
HOMER3,3.143222,3.182163,3.160033,3.166649,3.20738,3.174429,3.161169,3.179054,3.195905,3.207317,3.211034,3.261093,3.200211,3.160786,3.239532,3.169654,3.174028,3.172374,3.151036,3.228354,3.185905,3.177814,3.210128,3.194554,3.195265
SHOC2,3.395584,3.291367,3.467817,3.237689,3.219783,3.55424,3.252571,3.436052,3.244641,3.445581,3.468615,3.63128,3.238539,3.670859,3.350888,3.31603,3.52748,3.35606,3.358499,3.356081,3.587803,3.313068,3.447905,3.760631,3.5661
DNAJC5,5.840648,5.257399,5.040879,7.121171,7.636548,6.251484,3.464318,4.351052,5.227441,3.745353,3.569494,5.043018,3.724287,3.690001,3.626808,3.282289,3.188771,3.395287,4.055046,3.721005,3.277286,3.303683,3.812944,3.383992,3.698933
CEP250,3.169634,3.234158,3.151338,3.166448,3.310059,3.170742,3.147708,3.18184,3.144883,3.293824,3.200887,3.152076,3.188825,3.292771,3.187752,3.215883,3.174099,3.182559,3.187464,3.171549,3.219307,3.175005,3.165274,3.204003,3.18972
