,ind002,ind003,ind005,ind006,ind011,ind012,ind017,ind024,ind027,ind028,ind030,ind032,ind033,ind036,ind037,ind039,ind040,ind041,ind042,ind043,ind044,ind048,ind050,ind053,ind056,ind058,ind062,ind065,ind066,ind067,ind068,ind069,ind080,ind084,ind085,ind093,ind094,ind095,ind096,ind097,ind098,ind099,ind100
PRIMA1,4.991350584,4.811069461,4.886764311,4.873580565,4.801947197,4.902914548,5.025103422,4.509673604,5.054790313,5.163648154,5.3727968,4.982452095,4.7545874,4.599201221,4.943372844,4.734854161,4.74539196,5.353568221,4.699717654,4.782665547,4.518852755,4.806413588,4.787455308,4.928637541,4.805396195,4.767644982,4.775733572,4.502411229,4.823870947,4.778845081,4.555389354,4.722391703,4.992292769,4.889686785,4.9726077,4.975456136,5.031760314,5.275823641,4.7462819,5.008966857,4.841347221,4.913662309,4.873803621
ABCG2,4.65218121,5.185123767,4.190176726,5.724055595,7.242750261,4.401334226,5.790792984,4.431283141,4.41801082,6.354093894,4.797576776,5.038318865,5.046663992,5.144635774,4.462302955,5.498593627,4.16421504,3.854034181,4.274367402,4.383124389,4.235985896,4.379029986,6.434385547,4.346548198,7.192170207,5.10430021,4.219498476,4.718936095,4.596297915,4.037309759,4.400699419,4.393468587,7.718117017,4.291055733,4.928965747,3.918432673,4.330486206,4.615767702,4.320267164,4.273786338,4.623153709,4.817329126,6.827744912
NFIA,8.530417635,9.124151447,8.618859856,8.676978993,8.949679832,8.702141082,8.391023698,8.993173731,8.834298899,9.025485226,8.308836458,8.803377787,7.934768675,8.750583267,8.811952146,8.893149127,8.168990628,8.201975058,8.237345059,8.337651202,8.585603346,8.026831937,8.867578593,9.023398988,8.069499026,8.563241542,8.571531692,8.383528459,8.102398824,8.419494999,8.141412988,7.902361795,8.685190389,8.006429209,8.336638446,8.292774084,8.994457922,7.817510336,8.875115734,8.308522738,8.707477909,8.470249334,8.66160049
LIMK1,5.375463805,5.227628547,5.068058178,5.416647557,5.414052484,5.495854471,5.552664662,5.316289285,5.455626788,5.56287894,5.440277929,5.49897282,5.363352234,5.402933674,4.893841764,5.497623774,5.516889831,5.721226628,5.096623406,5.340580504,5.360271013,5.497003706,5.532655786,5.393080723,5.378924423,5.552917084,5.675499279,5.541219739,5.313220888,5.19996759,5.253206607,5.370978262,5.12907818,5.432665046,5.367115623,5.478076596,5.666750142,5.217002511,5.230226801,5.769478409,5.510705751,5.400768042,5.384720721
ID1,9.66612634,8.401618236,8.79577548,8.745356985,8.304365259,8.079691902,9.45948229,8.84931967,9.422272871,8.762077341,9.18064869,8.124220753,9.232593327,9.19863173,8.907471861,8.736145885,9.394068931,8.014498025,7.468283092,8.680495132,9.040996851,9.407013825,8.845864361,9.012317488,8.82291457,8.742421921,8.595965022,8.251633346,9.173565513,8.436905894,8.461820356,9.291749111,7.401463374,9.99259201,8.14428168,9.430303825,8.74380611,8.66603634,8.570326883,9.128176042,8.965203175,9.141221517,8.661875564
SLC1A3,7.477726158,7.697286003,6.554108505,5.781087954,7.345510794,5.85508444,6.511158177,6.608655085,6.028748964,5.906764605,7.022218378,7.714720384,6.898777975,6.39107423,7.839029493,5.832714974,7.062799991,5.203731875,5.338771692,7.394762662,6.436907294,6.839185224,5.486475764,5.446863865,4.795984981,6.193228231,8.163746041,5.869214467,5.572604362,5.87168028,5.172079157,6.469576078,5.383234689,6.09811832,5.192710466,6.924805224,6.904178833,5.008160115,6.293594124,6.486939699,5.546726499,7.777367645,5.567527065
EDA,4.744247323,4.682594603,4.973165018,4.520126098,4.858941998,4.869955593,4.820364141,4.523244788,4.304311586,4.951317986,4.673358608,4.55263806,4.380024864,5.104277984,4.266433138,4.95772305,4.342875863,4.794633157,4.256516142,4.75682148,4.724419761,4.438917633,4.715052957,5.104411882,4.49326633,4.097717084,4.976971602,4.61477352,4.616397569,4.549985384,4.873905737,4.415953438,4.776454224,4.749651492,4.486745726,4.624439683,4.440166985,4.5419235,4.543832416,4.636433557,4.777579633,4.614542926,4.44338118
AKR1C2,12.256842,11.07601267,12.45148381,12.71681503,11.42106367,12.04807391,13.85796136,11.813712,11.65867493,12.55467804,12.66837535,12.72038792,12.41421154,12.75541659,12.87358386,12.95767937,12.69572792,12.14396054,11.13294761,11.75928472,11.34010196,12.59330666,11.09020568,11.62677715,12.21090216,12.06866767,12.75174731,11.56342896,12.39715685,10.5647823,12.29602021,12.23894303,12.01418667,12.77725181,11.75016303,11.1148488,13.0761989,12.03200019,11.49719531,12.18317952,11.74457047,12.46355426,11.25178151
DMRT1,5.018763434,5.246207068,5.040541557,5.220131216,4.919717047,4.824123481,5.097985897,5.099155728,4.910521716,5.437048909,5.131029493,5.182556982,4.505872919,5.406521033,4.801050501,4.855567367,4.949498093,5.485267509,5.104867787,5.280704434,5.628737291,5.188005328,5.210717405,4.945793878,5.309992332,4.831436187,4.99252955,5.229193847,4.763733294,5.152043533,5.230352062,5.248214796,5.025466999,5.30565806,5.038708744,5.245465094,5.169217301,4.996672168,4.9444923,5.047525715,5.375353468,5.694945144,5.075342271
DHX9,7.293753045,7.004933366,7.005808841,7.306373901,7.349987573,7.003988234,6.853805696,6.730902079,7.057546712,7.145061407,7.019121513,7.17546941,6.996210176,6.800021371,6.914961054,6.937170779,6.788935535,6.793730501,7.476405485,7.360730334,7.070304588,7.324828027,7.391883416,7.135188746,7.570120168,7.128080146,7.448652648,6.793509046,7.594800015,7.040929475,7.021863682,7.486887313,7.373123941,6.79906193,6.742042201,7.149988517,7.043658753,6.762105685,6.86044341,7.481012807,6.884926601,6.982468343,6.918141329
TRHR,4.575233503,4.930114317,4.830368564,5.049395004,4.817765317,4.664656892,4.798977658,4.815918335,4.408917409,4.841022758,4.600313989,4.416364649,4.898883548,4.843351832,4.331833679,4.713786751,4.985845895,4.91707637,4.559791004,4.627541672,4.741842569,4.877492826,4.826768973,4.537534908,4.748780771,4.591839447,4.947406877,4.460365039,4.631361705,4.619354303,4.468937054,4.528582584,4.850360195,4.691178577,4.901054092,4.53028425,4.866273396,4.7526262,4.77123492,4.893817227,4.667576447,4.73047995,4.846401508
APP,10.08438187,10.14065166,9.570575824,10.03521712,10.67595741,10.14688,9.422070191,9.797446376,9.759227854,10.31782089,9.632487813,10.1569053,10.07182909,9.592381074,9.633062917,10.04972013,9.434288515,9.905114405,9.93210433,10.16506542,10.00607794,9.790427942,11.20481178,9.692559877,10.96926051,9.501578069,10.0365862,9.870136467,9.748727878,10.05208769,10.23681291,9.625604578,11.11744211,9.67852665,9.747577727,9.906398077,10.19538546,10.17386982,10.23306308,10.37955789,9.886364712,10.00464437,10.49859419
PTPRQ,5.066706605,5.381065379,5.133337716,5.201763434,5.189050397,4.63682101,4.696365649,5.028990235,4.566370368,5.065268689,5.234097948,5.468210235,5.046663992,5.51148328,5.294172467,5.162287896,5.32984671,5.139735006,5.254730577,5.260833711,5.316734488,5.383474651,5.198014199,5.73461526,5.042033056,5.157180471,5.272250843,5.121024093,5.330130945,5.28894038,5.162816057,4.966636464,5.434311617,5.390287293,5.251830554,5.370335837,5.14152001,5.584385652,4.765776162,5.358090524,5.276828818,5.064609591,5.19465667
CNTN1,4.372734017,4.863991905,4.706195027,5.165654957,4.431359441,4.801781398,4.0163684,4.691232359,4.292870421,4.684596967,3.989270021,4.898992782,4.32946238,4.188347543,4.226863473,4.078777349,3.987631291,4.419888507,4.943371151,4.375188602,4.621571869,4.285786446,4.304827164,4.563375367,4.294379707,4.06139304,4.359457119,4.296881863,4.731546727,4.363031806,4.785123998,4.434671554,4.189247146,4.362153941,4.348196394,4.076443729,4.499645187,4.4326556,4.709167227,4.553934156,4.524348055,4.269742201,4.134893159
EWSR1,9.644254254,9.455665865,9.726769934,9.48684027,9.709568117,9.864650487,9.148214757,9.28187891,9.489473978,9.845939923,9.787830067,9.453194798,9.571911769,9.67293128,9.528489584,9.570080128,9.524403815,9.815431515,9.839852025,9.723925088,9.936009301,9.490724498,9.674567707,9.57790336,9.821446526,9.118019241,9.509795727,9.67852665,10.01006374,9.675697279,9.706800396,9.751035982,9.621803466,9.631669402,9.36481865,9.931431179,9.490242655,9.752800375,9.452695336,9.54699928,9.460215986,9.198396595,9.443104818
NEK2,6.011827741,5.646375346,5.660036808,6.771152575,6.37519966,6.354733109,5.656565641,6.952049402,7.034877863,7.402450527,6.730493174,7.35488222,6.890280169,5.96601957,5.480454276,6.371076142,6.722511835,5.129198085,5.485428103,5.916760937,5.570183946,5.825432264,6.178670897,5.515187974,6.239238962,6.424323962,5.905410704,5.385994525,7.025174249,5.5128271,5.254416714,6.13191367,8.499756258,7.139821473,7.000011947,5.354156731,5.382925995,6.121365988,6.77245856,7.729635618,6.122741819,6.587277345,7.241204572
ALDH1A1,12.19638756,12.56142884,12.79632838,12.20220314,11.28123031,12.90785778,12.93906556,12.37107147,12.06165341,12.09528476,12.45148829,11.75522079,12.56715654,12.91939746,13.01027548,12.42771608,11.45607551,13.15897603,12.82720014,11.97580037,12.64059261,12.63080985,11.08303654,12.34996773,11.54770196,11.39266697,11.46905696,13.16708448,11.24603605,12.38351902,12.72580476,11.45850512,11.65215848,12.93347563,13.30796452,11.92625734,12.19400003,12.60082014,12.61322638,11.51803202,12.53346986,12.01751562,11.33173391
VRK1,6.422211039,7.43225651,8.22616591,7.694008415,6.997673583,8.405588703,7.632374063,7.278527558,7.368480645,7.779122694,7.88617665,7.477191659,7.956264137,7.814682054,8.089347925,7.660878121,6.8909259,8.095229055,7.718956786,6.741217534,7.634783196,8.067607894,6.939032487,6.909386019,6.776199485,7.209966599,7.404381613,8.605821285,7.606261062,7.851062876,7.855417684,7.385801335,7.214973231,8.181343203,9.082037057,5.811317304,6.258634844,7.297366408,7.96155396,7.595652108,7.765570142,7.136914877,6.590246583
GPR161,4.868824073,4.958981439,4.879477764,4.81037867,4.909737934,4.467247057,4.763817876,4.926874252,4.786014321,5.179640175,4.669367703,4.740198719,5.199368408,5.045060517,4.786327253,4.908392216,5.362223385,4.840951693,4.64861686,4.870760268,4.969336468,4.71496649,4.890486396,4.672574138,5.220807065,4.941033097,5.0821349,4.868401747,4.602197563,4.856445589,5.001028413,4.762181361,5.291835043,4.987925083,5.053160748,5.030283261,5.154960928,4.925950017,5.075073159,4.969004611,5.20419842,4.938228141,5.384403399
DHCR24,8.676647938,9.152161341,9.533787564,9.131966117,8.507433221,10.16721147,8.368483312,9.62317644,9.533259167,9.040630251,9.452695336,8.663333744,8.694406896,9.566623599,9.803699205,9.320753335,8.910078296,9.495357095,9.651321683,8.708621768,9.356596997,8.843200361,8.587947212,8.947267104,8.604794182,8.661243694,8.646627269,10.01341367,9.047118894,9.616318781,9.417867211,8.546053557,9.291928178,9.831868525,9.723925088,9.497917122,9.041234934,9.214200774,9.652997832,9.247706043,9.937915369,9.281178644,8.985413194
